plant,OptimalSoilDepth,AbsoluteSoilDepth,MinOptimalTemperature,MaxOptiomalTempreture,MinAbsoluteTemperature,MaxAbsoluteTemperature,OptimalSoilTexture,AbsoluteSoilTexture,OptimalRainfallMin,OptimalRainfallMax,AbsoluteRainfallMin,AbsoluteRainfallMax,OptimalSoilFertility,AbsoluteSoilFertility,OptimalLatitudeMin,OptimalLatitudeMax,AbsoluteLatitudeMin,AbsoluteLatitudeMax,OptimalSoilSalinity,AbsoluteSoilSalinity,OptimalSoilPhMin,OptimalSoilPhMax,AbsoluteSoilMin,AbsoluteSoilMax,OptimalSoilDrainage,AbsoluteSoilDrainage,OptimalLightIntensityMin,OptimalLightIntensityMax,AbsoluteLightIntensityMin,AbsuluteLightIntensityMax,ClimateZone,PhotoPeriod,MinCropCycle,MaxCropCycle
Agropyron elongatum,deep (>>150 cm),shallow (20-50 cm),12,20,2,25,"heavy, medium, light","heavy, medium, light",350,600,200,1600,moderate,low,30,30,40,40,low (<4 dS/m),high (>10 dS/m)),6.5,8,6,8.5,well (dry spells),"poorly (saturated >50% of year), well (dry spells), excessive (dry/moderately dry)",very bright,clear skies,very bright,cloudy skies,"tropical wet & dry (Aw), tropical wet (Ar), steppe or semiarid (Bs), subtropical dry summer (Cs), temperate oceanic (Do), temperate continental (Dc), temperate with humid winters (Df), temperate with dry winters (Dw)",long day (>14 hours),120,270
Agropyron intermedium,medium (50-150 cm),shallow (20-50 cm),15,20,5,36,"medium, light","heavy, medium, light",400,600,300,1160,moderate,moderate,30,30,55,55,low (<4 dS/m),medium (4-10 dS/m),6.5,7.5,5.5,8.5,well (dry spells),"well (dry spells), excessive (dry/moderately dry)",very bright,clear skies,very bright,cloudy skies,"desert or arid (Bw), steppe or semiarid (Bs), subtropical humid (Cf), subtropical dry summer (Cs), subtropical dry winter (Cw), temperate oceanic (Do), temperate continental (Dc), temperate with humid winters (Df), temperate with dry winters (Dw)",long day (>14 hours),90,229
Agropyron mongolicum,medium (50-150 cm),shallow (20-50 cm),12,20,3,45,"heavy, medium, light","heavy, medium, light",150,300,70,400,high,,30,35,50,45,low (<4 dS/m),low (<4 dS/m),7,8,6.5,8.5,"well (dry spells), excessive (dry/moderately dry)","well (dry spells), excessive (dry/moderately dry)",very bright,very bright,very bright,clear skies,"desert or arid (Bw), steppe or semiarid (Bs), temperate continental (Dc)",long day (>14 hours),30,120
Agropyron repens,shallow (20-50 cm),shallow (20-50 cm),10,20,4,45,"heavy, medium, light","heavy, medium, light",550,750,200,1500,high,low,-,-,-,-,low (<4 dS/m),high (>10 dS/m)),6,6.5,4.2,8.2,"poorly (saturated >50% of year), well (dry spells)","poorly (saturated >50% of year), well (dry spells)",very bright,clear skies,very bright,light shade,"desert or arid (Bw), steppe or semiarid (Bs), temperate oceanic (Do), temperate continental (Dc), temperate with humid winters (Df), temperate with dry winters (Dw), boreal (E)",long day (>14 hours),90,176
Agropyron riparium,medium (50-150 cm),shallow (20-50 cm),10,18,2,32,light,light,500,800,350,1160,low,low,-,-,-,-,low (<4 dS/m),low (<4 dS/m),6,7,5.5,7.5,"well (dry spells), excessive (dry/moderately dry)","well (dry spells), excessive (dry/moderately dry)",very bright,clear skies,very bright,cloudy skies,"steppe or semiarid (Bs), temperate oceanic (Do), temperate continental (Dc), temperate with humid winters (Df), temperate with dry winters (Dw), boreal (E)",long day (>14 hours),120,240
Agropyron sibiricum,medium (50-150 cm),shallow (20-50 cm),15,20,5,45,light,"heavy, medium, light",200,600,100,1000,low,low,-,-,-,-,low (<4 dS/m),medium (4-10 dS/m),6,7,5.5,7.5,well (dry spells),"well (dry spells), excessive (dry/moderately dry)",very bright,clear skies,very bright,cloudy skies,"steppe or semiarid (Bs), temperate oceanic (Do), temperate continental (Dc), temperate with humid winters (Df), temperate with dry winters (Dw), boreal (E)",long day (>14 hours),120,240
Agropyron smithii,shallow (20-50 cm),shallow (20-50 cm),7,20,2,45,heavy,"heavy, medium, light",400,600,210,1160,high,moderate,35,35,55,55,low (<4 dS/m),medium (4-10 dS/m),6.5,8,5.5,9,"poorly (saturated >50% of year), well (dry spells)","poorly (saturated >50% of year), well (dry spells), excessive (dry/moderately dry)",very bright,clear skies,very bright,cloudy skies,"desert or arid (Bw), steppe or semiarid (Bs), temperate oceanic (Do), temperate continental (Dc), temperate with humid winters (Df), temperate with dry winters (Dw), boreal (E)",long day (>14 hours),80,165
Agropyron spicatum,medium (50-150 cm),shallow (20-50 cm),12,20,2,24,"medium, light","heavy, medium, light",250,500,210,1160,moderate,low,-,-,-,-,low (<4 dS/m),low (<4 dS/m),6,7,5.6,7.5,well (dry spells),"well (dry spells), excessive (dry/moderately dry)",very bright,cloudy skies,very bright,light shade,"desert or arid (Bw), steppe or semiarid (Bs), temperate oceanic (Do), temperate continental (Dc), temperate with humid winters (Df), temperate with dry winters (Dw), boreal (E)",long day (>14 hours),90,240
Agropyron tauri,medium (50-150 cm),shallow (20-50 cm),15,20,5,25,"heavy, medium, light","heavy, medium, light",350,600,300,1000,moderate,low,-,-,-,-,low (<4 dS/m),low (<4 dS/m),7,8,6.5,8.5,well (dry spells),"well (dry spells), excessive (dry/moderately dry)",very bright,clear skies,very bright,cloudy skies,"steppe or semiarid (Bs), subtropical humid (Cf), subtropical dry summer (Cs), subtropical dry winter (Cw), temperate oceanic (Do), temperate continental (Dc), temperate with humid winters (Df), temperate with dry winters (Dw)",long day (>14 hours),90,240
Agropyron trachycaulum,shallow (20-50 cm),shallow (20-50 cm),13,22,3,26,"medium, light","heavy, medium, light",500,700,300,1100,moderate,,-,-,-,-,low (<4 dS/m),medium (4-10 dS/m),6,7,5.3,7.5,"poorly (saturated >50% of year), well (dry spells)","poorly (saturated >50% of year), well (dry spells)",very bright,clear skies,very bright,cloudy skies,"steppe or semiarid (Bs), subtropical dry summer (Cs), temperate oceanic (Do), temperate continental (Dc), temperate with humid winters (Df), temperate with dry winters (Dw), boreal (E)",long day (>14 hours),120,240
Agropyron trichophorum,medium (50-150 cm),shallow (20-50 cm),15,20,5,25,"heavy, medium, light","heavy, medium, light",250,600,300,1000,moderate,low,-,-,-,-,low (<4 dS/m),low (<4 dS/m),6.5,7.5,5.5,8.5,well (dry spells),"well (dry spells), excessive (dry/moderately dry)",very bright,clear skies,very bright,cloudy skies,"desert or arid (Bw), steppe or semiarid (Bs), subtropical humid (Cf), subtropical dry summer (Cs), subtropical dry winter (Cw), temperate oceanic (Do), temperate continental (Dc), temperate with humid winters (Df), temperate with dry winters (Dw)",long day (>14 hours),90,240
Agrostis canina,medium (50-150 cm),shallow (20-50 cm),9,20,2,45,"heavy, medium, organic","heavy, medium, light, organic",500,900,200,1200,moderate,low,42,40,60,65,low (<4 dS/m),low (<4 dS/m),4.5,6.5,4,7.5,"poorly (saturated >50% of year), well (dry spells)","poorly (saturated >50% of year), well (dry spells)",very bright,clear skies,very bright,cloudy skies,"desert or arid (Bw), steppe or semiarid (Bs), temperate oceanic (Do), temperate continental (Dc), temperate with humid winters (Df), temperate with dry winters (Dw), boreal (E)",long day (>14 hours),120,180
Agrostis gigantea,medium (50-150 cm),shallow (20-50 cm),12,21,2,32,"heavy, medium, light","heavy, medium, light",500,900,300,1200,low,low,42,40,58,60,low (<4 dS/m),low (<4 dS/m),5,7,4,8.3,"poorly (saturated >50% of year), well (dry spells)","poorly (saturated >50% of year), well (dry spells)",very bright,clear skies,very bright,cloudy skies,"steppe or semiarid (Bs), temperate oceanic (Do), temperate continental (Dc), temperate with humid winters (Df), temperate with dry winters (Dw), boreal (E)",long day (>14 hours),120,180
Agrostis keniensis,,,-,-,-,-,,,-,-,-,-,,,-,-,-,-,,,-,-,-,-,,,,,,,,,0,0
Agrostis quinqueseta,,,-,-,-,-,,,-,-,-,-,,,-,-,-,-,,,-,-,-,-,,,,,,,,,0,0
Agrostis stolonifera,medium (50-150 cm),shallow (20-50 cm),9,22,4,45,"medium, organic",medium,500,800,200,1800,moderate,low,40,40,50,55,low (<4 dS/m),high (>10 dS/m)),5,6.5,4,8.2,"poorly (saturated >50% of year), well (dry spells)","poorly (saturated >50% of year), well (dry spells)",very bright,clear skies,very bright,cloudy skies,"desert or arid (Bw), steppe or semiarid (Bs), temperate oceanic (Do), temperate continental (Dc), boreal (E)",long day (>14 hours),120,180
Agrostis tenuis,medium (50-150 cm),shallow (20-50 cm),10,20,3,45,"heavy, medium","heavy, medium, light",400,800,200,2100,moderate,low,35,30,65,70,low (<4 dS/m),low (<4 dS/m),4.5,7.5,4,8.5,"poorly (saturated >50% of year), well (dry spells)","poorly (saturated >50% of year), well (dry spells)",very bright,clear skies,very bright,light shade,"desert or arid (Bw), steppe or semiarid (Bs), subtropical humid (Cf), subtropical dry summer (Cs), subtropical dry winter (Cw), temperate oceanic (Do), temperate continental (Dc), temperate with humid winters (Df), temperate with dry winters (Dw), boreal (E)",long day (>14 hours),120,270
Agrostis trachyphylla,,,-,-,-,-,,,-,-,-,-,,,-,-,-,-,,,-,-,-,-,,,,,,,,,0,0
Agrostis trinii,medium (50-150 cm),shallow (20-50 cm),8,15,3,45,"medium, light","medium, light",200,500,70,600,high,,40,40,50,50,low (<4 dS/m),low (<4 dS/m),4.5,5.5,4,6.5,well (dry spells),"poorly (saturated >50% of year), well (dry spells)",very bright,clear skies,very bright,cloudy skies,"desert or arid (Bw), steppe or semiarid (Bs), temperate continental (Dc)",long day (>14 hours),30,180
Agrostis volkensii,,,-,-,-,-,,,-,-,-,-,,,-,-,-,-,,,-,-,-,-,,,,,,,,,0,0
Ailanthus altissima,deep (>>150 cm),medium (50-150 cm),14,28,6,40,"heavy, medium, light","heavy, medium, light",400,600,350,1500,moderate,low,30,30,60,60,low (<4 dS/m),medium (4-10 dS/m),5,7,4,8,"poorly (saturated >50% of year), well (dry spells), excessive (dry/moderately dry)","poorly (saturated >50% of year), well (dry spells), excessive (dry/moderately dry)",very bright,cloudy skies,very bright,heavy shade,"subtropical humid (Cf), subtropical dry summer (Cs), subtropical dry winter (Cw), temperate oceanic (Do), temperate continental (Dc), temperate with humid winters (Df), temperate with dry winters (Dw)",long day (>14 hours),120,210
Ailanthus excelsa,deep (>>150 cm),medium (50-150 cm),20,40,4,47,"medium, light","medium, light",600,1900,400,2500,moderate,low,10,10,30,30,low (<4 dS/m),low (<4 dS/m),5,6,4.5,7,well (dry spells),well (dry spells),very bright,very bright,very bright,clear skies,"tropical wet & dry (Aw), steppe or semiarid (Bs)",short day (<12 hours),120,300
Ailanthus grandis,deep (>>150 cm),medium (50-150 cm),30,38,4,42,medium,"medium, light",3000,4000,2500,4500,moderate,moderate,10,10,30,30,low (<4 dS/m),low (<4 dS/m),5,6,4.5,7,well (dry spells),well (dry spells),very bright,very bright,very bright,clear skies,"tropical wet & dry (Aw), subtropical dry winter (Cw)",short day (<12 hours),300,365
Aiphanes aculeata,medium (50-150 cm),shallow (20-50 cm),22,27,18,32,"medium, organic","medium, organic",1500,3000,1000,5000,moderate,moderate,-,-,12,24,low (<4 dS/m),low (<4 dS/m),5,6.5,4.5,7,well (dry spells),well (dry spells),light shade,clear skies,light shade,clear skies,"tropical wet & dry (Aw), tropical wet (Ar)",,0,0
Ajuga reptans,,,-,-,-,-,organic,organic,-,-,-,-,,,-,-,-,-,,,-,-,-,-,well (dry spells),"poorly (saturated >50% of year), well (dry spells)",light shade,cloudy skies,heavy shade,cloudy skies,"temperate oceanic (Do), temperate continental (Dc)",,0,0
Albizia adianthifolia,deep (>>150 cm),medium (50-150 cm),22,28,15,34,"medium, light","medium, light",1500,2500,900,4000,high,moderate,-,-,20,25,low (<4 dS/m),medium (4-10 dS/m),4.5,6.5,4,7,well (dry spells),"poorly (saturated >50% of year), well (dry spells)",clear skies,very bright,cloudy skies,very bright,"tropical wet & dry (Aw), tropical wet (Ar)",,0,0
Albizia amara,deep (>>150 cm),medium (50-150 cm),15,40,10,50,light,"heavy, medium, light, wide",400,1000,250,1200,moderate,low,-,-,20,20,low (<4 dS/m),low (<4 dS/m),5,7,4.5,8,well (dry spells),"well (dry spells), excessive (dry/moderately dry)",very bright,very bright,clear skies,very bright,"tropical wet & dry (Aw), steppe or semiarid (Bs)",,0,0
Albizia basaltica,medium (50-150 cm),shallow (20-50 cm),22,32,12,35,"medium, light","medium, light",500,750,400,800,moderate,low,17,15,23,25,,,6,7,5.5,7.5,well (dry spells),"well (dry spells), excessive (dry/moderately dry)",clear skies,very bright,cloudy skies,very bright,"tropical wet & dry (Aw), steppe or semiarid (Bs), subtropical humid (Cf)",,0,0
Albizia chevalieri,deep (>>150 cm),medium (50-150 cm),24,30,18,35,light,light,600,900,500,1000,moderate,moderate,12,10,18,20,,,5.5,6.5,4.5,7.5,well (dry spells),well (dry spells),clear skies,very bright,clear skies,very bright,tropical wet & dry (Aw),,0,0
Albizia chinensis,deep (>>150 cm),shallow (20-50 cm),22,32,15,45,"heavy, medium, light","heavy, medium, light",2500,3500,1000,5000,moderate,,-,-,-,-,low (<4 dS/m),low (<4 dS/m),5.5,7.3,4.5,8.5,well (dry spells),"poorly (saturated >50% of year), well (dry spells)",very bright,clear skies,very bright,cloudy skies,tropical wet (Ar),short day (<12 hours),270,365
Albizia falcataria,deep (>>150 cm),medium (50-150 cm),22,31,17,40,"heavy, medium","heavy, medium, light",2000,4000,1000,5500,moderate,low,-,-,5,10,low (<4 dS/m),low (<4 dS/m),5.5,7.3,4.5,8.5,well (dry spells),well (dry spells),very bright,clear skies,very bright,cloudy skies,"tropical wet & dry (Aw), tropical wet (Ar)",short day (<12 hours),270,365
Albizia harveyi,deep (>>150 cm),medium (50-150 cm),18,28,15,30,medium,medium,900,1800,400,2000,moderate,low,-,-,23,25,,,5,5.5,4.5,6,well (dry spells),well (dry spells),clear skies,very bright,cloudy skies,very bright,"tropical wet & dry (Aw), steppe or semiarid (Bs)",,0,0
Albizia lebbeck,deep (>>150 cm),medium (50-150 cm),26,36,12,48,medium,"heavy, medium, light",600,2000,500,2500,low,low,11,11,27,27,low (<4 dS/m),medium (4-10 dS/m),6,7,5.5,8.5,well (dry spells),"poorly (saturated >50% of year), well (dry spells), excessive (dry/moderately dry)",very bright,clear skies,very bright,cloudy skies,"tropical wet & dry (Aw), steppe or semiarid (Bs), subtropical humid (Cf)",short day (<12 hours),180,300
Albizia lophantha,deep (>>150 cm),medium (50-150 cm),18,26,10,32,light,"heavy, medium, light",700,1000,550,1150,moderate,low,30,30,32,32,low (<4 dS/m),low (<4 dS/m),7,7.5,6.5,8,well (dry spells),"poorly (saturated >50% of year), well (dry spells), excessive (dry/moderately dry)",very bright,clear skies,very bright,cloudy skies,subtropical dry summer (Cs),"short day (<12 hours), neutral day (12-14 hours), long day (>14 hours)",180,240
Albizia lucida,deep (>>150 cm),medium (50-150 cm),20,34,6,42,medium,"heavy, medium, light",2000,2400,1100,5000,moderate,moderate,25,25,35,35,low (<4 dS/m),low (<4 dS/m),5.5,6.5,4.5,7.5,"poorly (saturated >50% of year), well (dry spells)","poorly (saturated >50% of year), well (dry spells)",clear skies,cloudy skies,very bright,light shade,"tropical wet & dry (Aw), tropical wet (Ar)",short day (<12 hours),240,330
Albizia odoratissima,deep (>>150 cm),medium (50-150 cm),24,37,5,48,"heavy, medium, light","heavy, medium, light",1000,1500,600,3000,moderate,moderate,20,20,35,35,low (<4 dS/m),low (<4 dS/m),5.5,6.5,4.5,7.5,well (dry spells),well (dry spells),very bright,cloudy skies,very bright,light shade,"tropical wet & dry (Aw), tropical wet (Ar)",short day (<12 hours),210,240
Albizia procera,medium (50-150 cm),shallow (20-50 cm),20,33,10,45,medium,"heavy, medium, light",1500,2500,780,5100,moderate,low,-,-,20,20,low (<4 dS/m),low (<4 dS/m),5.5,6.5,5,7.5,"poorly (saturated >50% of year), well (dry spells)","poorly (saturated >50% of year), well (dry spells), excessive (dry/moderately dry)",very bright,very bright,very bright,light shade,tropical wet & dry (Aw),short day (<12 hours),150,270
Albizia pullenii,deep (>>150 cm),shallow (20-50 cm),24,30,20,34,"heavy, medium, light","heavy, medium, light",2500,3000,2000,4000,high,low,-,-,15,15,low (<4 dS/m),low (<4 dS/m),5.5,6.5,4.5,7.5,well (dry spells),well (dry spells),very bright,very bright,very bright,clear skies,"tropical wet & dry (Aw), tropical wet (Ar)",short day (<12 hours),270,365
Albizia stipulata,deep (>>150 cm),medium (50-150 cm),22,34,4,43,medium,"medium, light",2000,2400,1100,5000,high,moderate,20,20,30,30,low (<4 dS/m),low (<4 dS/m),5.5,6.5,5,7.5,"poorly (saturated >50% of year), well (dry spells)","poorly (saturated >50% of year), well (dry spells)",very bright,cloudy skies,very bright,light shade,tropical wet & dry (Aw),short day (<12 hours),210,300
Albizia toona,deep (>>150 cm),medium (50-150 cm),22,32,12,37,light,"medium, light",1000,1750,800,2000,moderate,low,10,10,22,22,low (<4 dS/m),low (<4 dS/m),5.5,6.5,5,7,well (dry spells),"well (dry spells), excessive (dry/moderately dry)",very bright,clear skies,very bright,cloudy skies,"tropical wet & dry (Aw), subtropical humid (Cf)",short day (<12 hours),210,300
Alchemilla vulgaris,,,-,-,-,-,,,-,-,-,-,,,-,-,-,-,,,-,-,-,-,,,,,,,temperate oceanic (Do),,0,0
Aleurites fordii,medium (50-150 cm),shallow (20-50 cm),17,22,10,28,medium,medium,1000,1200,750,1400,high,moderate,29,29,32,32,low (<4 dS/m),low (<4 dS/m),6,7,5.3,7.5,well (dry spells),well (dry spells),very bright,clear skies,very bright,cloudy skies,subtropical dry summer (Cs),short day (<12 hours),240,300
Aleurites moluccana,medium (50-150 cm),shallow (20-50 cm),18,28,14,32,medium,medium,1000,1800,600,4300,high,moderate,-,-,20,30,low (<4 dS/m),low (<4 dS/m),5,8,4.3,8.5,well (dry spells),well (dry spells),very bright,very bright,very bright,clear skies,"tropical wet & dry (Aw), subtropical humid (Cf), subtropical dry summer (Cs)",short day (<12 hours),240,365
Aleurites montana,medium (50-150 cm),shallow (20-50 cm),25,30,18,34,"heavy, medium, light","heavy, medium, light",1500,2100,1000,2500,moderate,low,10,10,35,35,low (<4 dS/m),low (<4 dS/m),5,6.5,4.5,7,well (dry spells),"well (dry spells), excessive (dry/moderately dry)",clear skies,cloudy skies,very bright,cloudy skies,"tropical wet & dry (Aw), subtropical dry summer (Cs)",short day (<12 hours),240,300
Alisma plantago-aquatica,medium (50-150 cm),shallow (20-50 cm),8,18,6,24,"heavy, medium","heavy, medium",500,1500,400,1700,high,moderate,40,37,63,65,low (<4 dS/m),low (<4 dS/m),5,7,4.5,7.5,poorly (saturated >50% of year),poorly (saturated >50% of year),clear skies,very bright,clear skies,very bright,"steppe or semiarid (Bs), subtropical dry summer (Cs), temperate oceanic (Do), temperate continental (Dc), boreal (E)",,0,0
Alkanna tinctoria,,,-,-,-,-,,,-,-,-,-,,,-,-,-,-,,,-,-,-,-,,,,,,,,,0,0
Alliaria petiolata,,,-,-,-,-,"heavy, medium","heavy, medium",-,-,-,-,high,moderate,-,-,-,-,,,-,-,-,-,,,light shade,cloudy skies,heavy shade,clear skies,temperate oceanic (Do),,0,0
Allium ampeloprasum,medium (50-150 cm),shallow (20-50 cm),18,24,6,27,"medium, organic","heavy, medium, light",750,1000,350,2800,high,low,-,-,60,60,low (<4 dS/m),low (<4 dS/m),6,6.5,4.5,7.5,well (dry spells),well (dry spells),clear skies,clear skies,very bright,cloudy skies,"tropical wet & dry (Aw), tropical wet (Ar), steppe or semiarid (Bs), subtropical humid (Cf), subtropical dry summer (Cs), subtropical dry winter (Cw), temperate oceanic (Do), temperate continental (Dc), temperate with humid winters (Df), temperate with dry winters (Dw)",long day (>14 hours),120,150
Allium cepa,medium (50-150 cm),shallow (20-50 cm),12,25,4,30,"medium, organic","wide, organic",350,600,300,2800,moderate,low,-,-,60,60,low (<4 dS/m),medium (4-10 dS/m),6,7,4.3,8.3,well (dry spells),well (dry spells),clear skies,clear skies,cloudy skies,very bright,"tropical wet & dry (Aw), tropical wet (Ar), steppe or semiarid (Bs), subtropical humid (Cf), subtropical dry summer (Cs), subtropical dry winter (Cw), temperate oceanic (Do), temperate continental (Dc), temperate with humid winters (Df), temperate with dry winters (Dw)","short day (<12 hours), neutral day (12-14 hours), long day (>14 hours)",85,175
Allium cepa var. aggregatum,medium (50-150 cm),shallow (20-50 cm),20,25,10,30,"light, organic","heavy, medium, light",450,600,300,1000,high,low,-,-,60,60,low (<4 dS/m),low (<4 dS/m),6,7,5.5,7.5,well (dry spells),well (dry spells),clear skies,clear skies,very bright,cloudy skies,"tropical wet & dry (Aw), tropical wet (Ar), steppe or semiarid (Bs), subtropical humid (Cf), subtropical dry summer (Cs), subtropical dry winter (Cw), temperate oceanic (Do), temperate continental (Dc), temperate with humid winters (Df), temperate with dry winters (Dw)","short day (<12 hours), neutral day (12-14 hours), long day (>14 hours)",60,100
Allium cepa var. cepa,medium (50-150 cm),shallow (20-50 cm),12,25,4,30,"medium, organic","heavy, medium, light",350,600,300,2800,moderate,low,25,-,35,60,low (<4 dS/m),,6,7,4.3,8.3,well (dry spells),well (dry spells),clear skies,clear skies,very bright,cloudy skies,"tropical wet & dry (Aw), tropical wet (Ar), steppe or semiarid (Bs), subtropical humid (Cf), subtropical dry summer (Cs), subtropical dry winter (Cw), temperate oceanic (Do), temperate continental (Dc), temperate with humid winters (Df), temperate with dry winters (Dw)","short day (<12 hours), neutral day (12-14 hours), long day (>14 hours)",85,175
Allium cepa x A. fistulosum,,,-,-,-,-,,,-,-,-,-,,,-,-,-,-,,,-,-,-,-,,,,,,,,,0,0
Allium chinense,medium (50-150 cm),shallow (20-50 cm),15,26,8,35,light,"medium, light",1500,2500,650,4100,moderate,low,30,10,40,50,low (<4 dS/m),low (<4 dS/m),5.5,6.5,4.3,7.2,well (dry spells),well (dry spells),very bright,clear skies,very bright,cloudy skies,"tropical wet & dry (Aw), tropical wet (Ar), subtropical humid (Cf), subtropical dry summer (Cs), subtropical dry winter (Cw), temperate oceanic (Do), temperate continental (Dc), temperate with humid winters (Df), temperate with dry winters (Dw)",long day (>14 hours),45,60
Allium fistulosum,medium (50-150 cm),shallow (20-50 cm),12,25,6,30,"medium, organic","heavy, medium, light",850,1600,700,2500,high,low,-,-,60,60,low (<4 dS/m),low (<4 dS/m),6.6,7.4,5.5,8.5,well (dry spells),well (dry spells),clear skies,clear skies,very bright,cloudy skies,"tropical wet & dry (Aw), tropical wet (Ar), subtropical humid (Cf), temperate oceanic (Do), temperate continental (Dc)","short day (<12 hours), neutral day (12-14 hours), long day (>14 hours)",60,160
Allium sativum,medium (50-150 cm),shallow (20-50 cm),18,30,7,35,"medium, light","heavy, medium, light",750,1600,500,2700,high,low,-,-,60,60,low (<4 dS/m),low (<4 dS/m),6,6.6,5,8.5,well (dry spells),well (dry spells),clear skies,clear skies,very bright,cloudy skies,"tropical wet & dry (Aw), tropical wet (Ar), subtropical humid (Cf), subtropical dry summer (Cs), subtropical dry winter (Cw), temperate oceanic (Do), temperate continental (Dc), temperate with humid winters (Df), temperate with dry winters (Dw)",long day (>14 hours),90,120
Allium schoenoprasum,shallow (20-50 cm),shallow (20-50 cm),10,20,2,35,"medium, organic","heavy, medium, light",450,1600,300,2800,high,low,20,-,60,60,low (<4 dS/m),low (<4 dS/m),6,6.6,5,8.2,well (dry spells),well (dry spells),very bright,very bright,very bright,clear skies,"tropical wet & dry (Aw), tropical wet (Ar), steppe or semiarid (Bs), subtropical dry summer (Cs), temperate oceanic (Do), temperate continental (Dc), temperate with humid winters (Df), temperate with dry winters (Dw), boreal (E)",long day (>14 hours),70,100
Allium tuberosum,shallow (20-50 cm),shallow (20-50 cm),10,20,2,35,"medium, light","heavy, medium, light",850,2200,300,4000,high,low,30,-,60,60,low (<4 dS/m),low (<4 dS/m),6,6.8,5.3,8.3,well (dry spells),well (dry spells),very bright,very bright,very bright,clear skies,"tropical wet & dry (Aw), tropical wet (Ar), steppe or semiarid (Bs), subtropical humid (Cf), subtropical dry summer (Cs), subtropical dry winter (Cw), temperate oceanic (Do), temperate continental (Dc), temperate with humid winters (Df), temperate with dry winters (Dw), boreal (E)",long day (>14 hours),70,100
Allium ursinum,,,-,-,-,-,,,-,-,-,-,,,-,-,-,-,,,-,-,-,-,poorly (saturated >50% of year),"poorly (saturated >50% of year), well (dry spells)",light shade,cloudy skies,heavy shade,clear skies,,,0,0
Alloteropsis semialata,medium (50-150 cm),shallow (20-50 cm),14,24,10,32,"medium, light","medium, light",600,1600,400,2000,moderate,low,7,5,28,30,,,5,6.5,4.5,7,well (dry spells),"poorly (saturated >50% of year), well (dry spells)",cloudy skies,very bright,light shade,very bright,"tropical wet & dry (Aw), steppe or semiarid (Bs), subtropical humid (Cf)",,0,0
Alnus acuminata,deep (>>150 cm),shallow (20-50 cm),15,28,4,34,"medium, organic","heavy, medium, light",1500,2500,1000,3500,moderate,low,-,-,18,30,low (<4 dS/m),low (<4 dS/m),5.5,6.5,4.5,7,well (dry spells),"well (dry spells), excessive (dry/moderately dry)",very bright,clear skies,very bright,cloudy skies,"tropical wet & dry (Aw), tropical wet (Ar), subtropical dry summer (Cs)",short day (<12 hours),180,270
Alnus glutinosa,,,-,-,-,-,"heavy, medium, organic","wide, organic",-,-,-,-,,,-,-,-,-,,,-,-,-,-,poorly (saturated >50% of year),"poorly (saturated >50% of year), well (dry spells)",,,,,"subtropical dry summer (Cs), temperate oceanic (Do), temperate continental (Dc)",,0,0
Alnus japonica,deep (>>150 cm),shallow (20-50 cm),18,32,4,36,medium,"heavy, medium, light",1500,2000,1250,2500,moderate,low,20,20,40,40,low (<4 dS/m),low (<4 dS/m),5,6.5,4.5,7.5,well (dry spells),"poorly (saturated >50% of year), well (dry spells)",very bright,cloudy skies,very bright,light shade,"tropical wet & dry (Aw), tropical wet (Ar), subtropical humid (Cf)","short day (<12 hours), neutral day (12-14 hours), long day (>14 hours)",180,240
Alnus maritima,medium (50-150 cm),shallow (20-50 cm),8,20,13,26,"medium, light, organic","heavy, medium, light, wide, organic",1000,2000,800,4000,moderate,low,30,15,40,40,low (<4 dS/m),medium (4-10 dS/m),6.5,7.5,6.1,8.1,well (dry spells),"poorly (saturated >50% of year), well (dry spells)",clear skies,very bright,cloudy skies,very bright,"temperate oceanic (Do), temperate continental (Dc)",,365,365
Alnus nepalensis,deep (>>150 cm),medium (50-150 cm),15,28,4,36,medium,"light, wide",1000,2000,500,2500,moderate,moderate,15,15,28,35,low (<4 dS/m),low (<4 dS/m),5.5,7,5,8,well (dry spells),"poorly (saturated >50% of year), well (dry spells)",very bright,cloudy skies,very bright,light shade,"tropical wet & dry (Aw), steppe or semiarid (Bs), subtropical humid (Cf), temperate oceanic (Do), temperate continental (Dc), temperate with humid winters (Df), temperate with dry winters (Dw)",short day (<12 hours),180,240
Alnus rubra,deep (>>150 cm),medium (50-150 cm),17,32,4,45,medium,"heavy, medium, light",1000,2000,600,3000,moderate,low,30,30,60,60,low (<4 dS/m),low (<4 dS/m),5.5,7,5,8,well (dry spells),"poorly (saturated >50% of year), well (dry spells)",very bright,very bright,very bright,clear skies,"subtropical dry summer (Cs), temperate oceanic (Do)",long day (>14 hours),180,300
Alocasia macrorrhizos,medium (50-150 cm),shallow (20-50 cm),20,25,10,32,medium,"heavy, light",2500,3500,2000,4200,high,moderate,-,-,20,20,low (<4 dS/m),low (<4 dS/m),5.7,6.3,5,7.3,well (dry spells),"well (dry spells), excessive (dry/moderately dry)",cloudy skies,cloudy skies,cloudy skies,light shade,tropical wet (Ar),short day (<12 hours),365,365
